headline,link
नेप्से घट्दा पनि १६.३५ अर्बको सेयर किनबेच,"<a href=""https://ekantipur.com/business/2026/01/27/shares-worth-rs-1635-billion-traded-despite-nepse-decline-53-04.html"" onclick=""gaEvent('Homepage Category','अर्थ / वाणिज्य','नेप्से घट्दा पनि १६.३५ अर्बको सेयर किनबेच');"">नेप्से घट्दा पनि १६.३५ अर्बको सेयर किनबेच</a>"
यस्तो छ आजका लागि निर्धारण गरिएको विदेशी मुद्राको विनिमयदर,"<a href=""https://ekantipur.com/business/2026/01/27/this-is-the-foreign-currency-exchange-rate-determined-for-today-01-45.html"" onclick=""gaEvent('Homepage Category','अर्थ / वाणिज्य','यस्तो छ आजका लागि निर्धारण गरिएको विदेशी मुद्राको विनिमयदर');"">यस्तो छ आजका लागि निर्धारण गरिएको विदेशी मुद्राको विनिमयदर</a>"
लिड्ससँग एभरटनको बराबरी,"<a href=""https://ekantipur.com/sports/2026/01/27/everton-draw-with-leeds-14-36.html"" onclick=""gaEvent('Homepage Category','खेलकुद','लिड्ससँग एभरटनको बराबरी');"">लिड्ससँग एभरटनको बराबरी</a>"
ललितपुर–२१ मा मेयर कप टेबलटेनिस हुने,"<a href=""https://ekantipur.com/sports/2026/01/27/mayors-cup-table-tennis-to-be-held-in-lalitpur-21-20-28.html"" onclick=""gaEvent('Homepage Category','खेलकुद','ललितपुर–२१ मा मेयर कप टेबलटेनिस हुने');"">ललितपुर–२१ मा मेयर कप टेबलटेनिस हुने</a>"
चिनियाँ नयाँ वर्षमा मैत्रीपूर्ण फुटबल हुने,"<a href=""https://ekantipur.com/sports/2026/01/27/friendly-football-to-be-held-during-chinese-new-year-19-03.html"" onclick=""gaEvent('Homepage Category','खेलकुद','चिनियाँ नयाँ वर्षमा मैत्रीपूर्ण फुटबल हुने');"">चिनियाँ नयाँ वर्षमा मैत्रीपूर्ण फुटबल हुने</a>"
सूर्य नेपाल एनपीजीए टुर बर्दिबासमा आजदेखि,"<a href=""https://ekantipur.com/sports/2026/01/27/surya-nepal-npga-tour-in-bardibas-from-today-16-05.html"" onclick=""gaEvent('Homepage Category','खेलकुद','सूर्य नेपाल एनपीजीए टुर बर्दिबासमा आजदेखि');"">सूर्य नेपाल एनपीजीए टुर बर्दिबासमा आजदेखि</a>"
सुदूरपश्चिम प्रादेशिक क्रिकेट टिम र एसपीएबीच तीनवर्षे प्रायोजन सम्झौता,"<a href=""https://ekantipur.com/sports/2026/01/26/three-year-sponsorship-agreement-between-sudurpaschim-provincial-cricket-team-and-spa-24-18.html"" onclick=""gaEvent('Homepage Category','खेलकुद','सुदूरपश्चिम प्रादेशिक क्रिकेट टिम र एसपीएबीच तीनवर्षे प्रायोजन सम्झौता');"">सुदूरपश्चिम प्रादेशिक क्रिकेट टिम र एसपीएबीच तीनवर्षे प्रायोजन सम्झौता</a>"
जिके पोखरेलको गीत ‘इन्दिरा’ सार्वजनिक,"<a href=""https://ekantipur.com/entertainment/2026/01/27/zk-pokharels-song-indira-released-12-38.html"" onclick=""gaEvent('Homepage Category','मनोरञ्जन','जिके पोखरेलको गीत ‘इन्दिरा’ सार्वजनिक');"">जिके पोखरेलको गीत ‘इन्दिरा’ सार्वजनिक</a>"
'बहुरिया'मा अधिकार खोज्ने सिता,"<a href=""https://ekantipur.com/entertainment/2026/01/26/sita-seeks-power-in-bahuriya-08-25.html"" onclick=""gaEvent('Homepage Category','मनोरञ्जन','\'बहुरिया\'मा अधिकार खोज्ने सिता');"">'बहुरिया'मा अधिकार खोज्ने सिता</a>"
"चलचित्रको विकास, विस्तार र प्रवर्द्धन हुने गरी कानून परिमार्जन हुँदैछ : मन्त्री सिन्हा","<a href=""https://ekantipur.com/entertainment/2026/01/26/laws-are-being-amended-to-develop-expand-and-promote-films-minister-sinha-50-57.html"" onclick=""gaEvent('Homepage Category','मनोरञ्जन','चलचित्रको विकास, विस्तार र प्रवर्द्धन हुने गरी कानून परिमार्जन हुँदैछ : मन्त्री सिन्हा');"">चलचित्रको विकास, विस्तार र प्रवर्द्धन हुने गरी कानून परिमार्जन हुँदैछ : मन्त्री सिन्हा</a>"
बक्स अफिसमा बाजी मार्यो गोबर गणेशले,"<a href=""https://ekantipur.com/entertainment/2026/01/26/balchi-leaving-behind-gifts-and-kindness-20-51.html"" onclick=""gaEvent('Homepage Category','मनोरञ्जन','बक्स अफिसमा बाजी मार्यो गोबर गणेशले');"">बक्स अफिसमा बाजी मार्यो गोबर गणेशले</a>"
"‘रमिताको पिरती’को ट्रेलरमा प्रेम, धोका","<a href=""https://ekantipur.com/entertainment/2026/01/26/love-betrayal-in-the-trailer-of-ramita-ko-pirati-03-17.html"" onclick=""gaEvent('Homepage Category','मनोरञ्जन','‘रमिताको पिरती’को ट्रेलरमा प्रेम, धोका');"">‘रमिताको पिरती’को ट्रेलरमा प्रेम, धोका</a>"
सकियो ‘इकोज इन द भ्याली– फेस्टिभल अफ म्युजिक’,"<a href=""https://ekantipur.com/entertainment/2026/01/25/echoes-in-the-valley-festival-of-music-ends-09-56.html"" onclick=""gaEvent('Homepage Category','मनोरञ्जन','सकियो ‘इकोज इन द भ्याली– फेस्टिभल अफ म्युजिक’');"">सकियो ‘इकोज इन द भ्याली– फेस्टिभल अफ म्युजिक’</a>"
इजिप्टमा बालबालिकाको सामाजिक सञ्जाल प्रयोगमा प्रतिबन्धको तयारी,"<a href=""https://ekantipur.com/world/2026/01/26/egypt-prepares-to-ban-childrens-use-of-social-media-43-29.html"" onclick=""gaEvent('Homepage Category','विश्व','इजिप्टमा बालबालिकाको सामाजिक सञ्जाल प्रयोगमा प्रतिबन्धको तयारी');"">इजिप्टमा बालबालिकाको सामाजिक सञ्जाल प्रयोगमा प्रतिबन्धको तयारी</a>"
मिनियापोलिस आन्दोलनले अमेरिकामा राजनीतिक संकट गहिरिदैं,"<a href=""https://ekantipur.com/world/2026/01/26/minneapolis-protests-deepen-political-crisis-in-america-24-55.html"" onclick=""gaEvent('Homepage Category','विश्व','मिनियापोलिस आन्दोलनले अमेरिकामा राजनीतिक संकट गहिरिदैं');"">मिनियापोलिस आन्दोलनले अमेरिकामा राजनीतिक संकट गहिरिदैं</a>"
अमेरिकामा हिमआँधीले १० लाखभन्दा बढी मानिस अन्धकारमा,"<a href=""https://ekantipur.com/world/2026/01/26/blizzard-leaves-more-than-a-million-people-in-the-dark-in-the-us-47-02.html"" onclick=""gaEvent('Homepage Category','विश्व','अमेरिकामा हिमआँधीले १० लाखभन्दा बढी मानिस अन्धकारमा');"">अमेरिकामा हिमआँधीले १० लाखभन्दा बढी मानिस अन्धकारमा</a>"
"फिलिपिन्समा डुंङगा दुर्घटनामा कम्तिमा १५ जनाको मृत्यु , २८ बेपत्ता","<a href=""https://ekantipur.com/world/2026/01/26/at-least-15-dead-28-missing-in-philippines-boat-accident-01-45.html"" onclick=""gaEvent('Homepage Category','विश्व','फिलिपिन्समा डुंङगा दुर्घटनामा कम्तिमा १५ जनाको मृत्यु , २८ बेपत्ता');"">फिलिपिन्समा डुंङगा दुर्घटनामा कम्तिमा १५ जनाको मृत्यु , २८ बेपत्ता</a>"
वरिष्ठ पत्रकार मार्क टलीको ९० वर्षको उमेरमा निधन,"<a href=""https://ekantipur.com/world/2026/01/25/veteran-journalist-mark-talley-dies-at-90-18-28.html"" onclick=""gaEvent('Homepage Category','विश्व','वरिष्ठ पत्रकार मार्क टलीको ९० वर्षको उमेरमा निधन');"">वरिष्ठ पत्रकार मार्क टलीको ९० वर्षको उमेरमा निधन</a>"
"५२ प्रतिशत मतदाता युवा, उम्मेदवार भने ३१ प्रतिशत","<a href=""https://ekantipur.com/feature/2026/01/25/52-percent-of-voters-are-young-31-percent-of-candidates-are-young-46-35.html"" onclick=""gaEvent('Homepage Category','फिचर','५२ प्रतिशत मतदाता युवा, उम्मेदवार भने ३१ प्रतिशत');"">५२ प्रतिशत मतदाता युवा, उम्मेदवार भने ३१ प्रतिशत</a>"
दृष्टि फर्कँदा नाचगान गरेर खुसियाली,"<a href=""https://ekantipur.com/feature/2026/01/24/when-you-regain-your-sight-you-dance-and-sing-happily-06-29.html"" onclick=""gaEvent('Homepage Category','फिचर','दृष्टि फर्कँदा नाचगान गरेर खुसियाली');"">दृष्टि फर्कँदा नाचगान गरेर खुसियाली</a>"
धानसँगै फल्यो नाम र दाम,"<a href=""https://ekantipur.com/feature/2026/01/22/fame-and-fortune-grew-along-with-rice-46-26.html"" onclick=""gaEvent('Homepage Category','फिचर','धानसँगै फल्यो नाम र दाम');"">धानसँगै फल्यो नाम र दाम</a>"
शिक्षामा जनता माविको सान,"<a href=""https://ekantipur.com/feature/2026/01/22/janata-mavis-reputation-in-education-07-14.html"" onclick=""gaEvent('Homepage Category','फिचर','शिक्षामा जनता माविको सान');"">शिक्षामा जनता माविको सान</a>"
त्रिशूलीमा बस तानिरहेका ‘टायर कान्छा’,"<a href=""https://ekantipur.com/feature/2026/01/22/tire-is-small-49-47.html"" onclick=""gaEvent('Homepage Category','फिचर','त्रिशूलीमा बस तानिरहेका ‘टायर कान्छा’');"">त्रिशूलीमा बस तानिरहेका ‘टायर कान्छा’</a>"
बडघर छान्न व्यस्त थारु बस्ती,"<a href=""https://ekantipur.com/feature/2026/01/16/rush-to-choose-a-house-in-tharu-settlement-34-10.html"" onclick=""gaEvent('Homepage Category','फिचर','बडघर छान्न व्यस्त थारु बस्ती');"">बडघर छान्न व्यस्त थारु बस्ती</a>"
मर्मतपछि काठमाडौं महानगरका सार्वजनिक कुर्सी यथावत् स्थानमै राखिँदै,"<a href=""https://ekantipur.com/national/2026/01/26/kathmandu-metropolitan-citys-public-chairs-are-being-kept-in-their-original-locations-after-repairs-07-06.html"" onclick=""gaEvent('Homepage Category','उपत्यका','मर्मतपछि काठमाडौं महानगरका सार्वजनिक कुर्सी यथावत् स्थानमै राखिँदै');"">मर्मतपछि काठमाडौं महानगरका सार्वजनिक कुर्सी यथावत् स्थानमै राखिँदै</a>"
काठमाडौंका दुई स्थानबाट ब्राउनसुगरसहित ४ जना पक्राउ,"<a href=""https://ekantipur.com/national/2026/01/26/4-people-arrested-with-brown-sugar-from-two-locations-in-kathmandu-52-48.html"" onclick=""gaEvent('Homepage Category','उपत्यका','काठमाडौंका दुई स्थानबाट ब्राउनसुगरसहित ४ जना पक्राउ');"">काठमाडौंका दुई स्थानबाट ब्राउनसुगरसहित ४ जना पक्राउ</a>"
बाल सुधारगृहमा आगजनी र तोडफोड : सबै बालबिज्याइँकर्तालाई अन्यत्रै सारियो,"<a href=""https://ekantipur.com/national/2026/01/23/arson-and-vandalism-at-juvenile-correctional-home-all-juveniles-transferred-elsewhere-44-22.html"" onclick=""gaEvent('Homepage Category','उपत्यका','बाल सुधारगृहमा आगजनी र तोडफोड : सबै बालबिज्याइँकर्तालाई अन्यत्रै सारियो');"">बाल सुधारगृहमा आगजनी र तोडफोड : सबै बालबिज्याइँकर्तालाई अन्यत्रै सारियो</a>"
"भक्तपुरको बालसुधार गृहभित्र झडप, ८ जना घाइते","<a href=""https://ekantipur.com/national/2026/01/23/clashes-inside-bhaktapurs-juvenile-correctional-home-8-injured-58-19.html"" onclick=""gaEvent('Homepage Category','उपत्यका','भक्तपुरको बालसुधार गृहभित्र झडप, ८ जना घाइते');"">भक्तपुरको बालसुधार गृहभित्र झडप, ८ जना घाइते</a>"
नदीको दायाँबायाँ गरिएको निर्माण रोक्का महानगरपालिकाबाट फुकुवा ,"<a href=""https://ekantipur.com/national/2026/01/21/construction-on-both-sides-of-the-river-has-been-suspended-by-the-metropolitan-municipality-01-06.html"" onclick=""gaEvent('Homepage Category','उपत्यका','नदीको दायाँबायाँ गरिएको निर्माण रोक्का महानगरपालिकाबाट फुकुवा ');"">नदीको दायाँबायाँ गरिएको निर्माण रोक्का महानगरपालिकाबाट फुकुवा </a>"
उपत्यकाका सार्वजनिक सवारीसाधनमा सीसी क्यामरा जडान सुरु,"<a href=""https://ekantipur.com/national/2026/01/21/installation-of-cctv-cameras-in-public-vehicles-in-the-kathmandu-valley-begins-48-08.html"" onclick=""gaEvent('Homepage Category','उपत्यका','उपत्यकाका सार्वजनिक सवारीसाधनमा सीसी क्यामरा जडान सुरु');"">उपत्यकाका सार्वजनिक सवारीसाधनमा सीसी क्यामरा जडान सुरु</a>"
प्रतिनिधिसभा निर्वाचन २०८२,
घोषणापत्रको मूल एजेन्डा : सुशासन र भ्रष्टाचार नियन्त्रण,"<a href=""https://ekantipur.com/opinion/2026/01/27/main-agenda-of-the-manifesto-good-governance-and-corruption-control-30-27.html"" onclick=""gaEvent('Kantipur Oped in Homepage','Clicked','घोषणापत्रको मूल एजेन्डा : सुशासन र भ्रष्टाचार नियन्त्रण');"">घोषणापत्रको मूल एजेन्डा : सुशासन र भ्रष्टाचार नियन्त्रण</a>"
राष्ट्रिय सभाको गरिमा जोगाउने समय,"<a href=""https://ekantipur.com/opinion/2026/01/27/time-to-protect-the-dignity-of-the-national-assembly-18-46.html"" onclick=""gaEvent('Kantipur Oped in Homepage','Clicked','राष्ट्रिय सभाको गरिमा जोगाउने समय');"">राष्ट्रिय सभाको गरिमा जोगाउने समय</a>"
घोषणापत्रमा आप्रवासनको मुद्दा,"<a href=""https://ekantipur.com/opinion/2026/01/27/the-issue-of-immigration-in-the-manifesto-21-47.html"" onclick=""gaEvent('Kantipur Oped in Homepage','Clicked','घोषणापत्रमा आप्रवासनको मुद्दा');"">घोषणापत्रमा आप्रवासनको मुद्दा</a>"
राजनीतिक चेतको सदुपयोग गर्ने समय,"<a href=""https://ekantipur.com/opinion/2026/01/27/time-to-make-good-use-of-political-awareness-24-00.html"" onclick=""gaEvent('Kantipur Oped in Homepage','Clicked','राजनीतिक चेतको सदुपयोग गर्ने समय');"">राजनीतिक चेतको सदुपयोग गर्ने समय</a>"
कान्तिपुरका स्तम्भहरु,
हाम्रा अन्य प्रकाशनहरु,
